Actual_Sentiment,Predicted_Sentiment,Is_Correct
Neutral,Neutral,True
Neutral,Neutral,True
Neutral,Neutral,True
Positive,Positive,True
Neutral,Positive,False
Positive,Positive,True
Positive,Positive,True
Negative,Negative,True
Neutral,Neutral,True
Neutral,Neutral,True
Negative,Negative,True
Positive,Positive,True
Positive,Positive,True
Negative,Negative,True
Neutral,Neutral,True
Neutral,Neutral,True
Neutral,Neutral,True
Negative,Negative,True
Negative,Negative,True
Neutral,Neutral,True
Negative,Negative,True
Neutral,Neutral,True
Positive,Positive,True
Neutral,Neutral,True
Neutral,Neutral,True
Negative,Negative,True
Neutral,Neutral,True
Negative,Negative,True
Positive,Positive,True
Positive,Positive,True
Negative,Negative,True
Neutral,Positive,False
Positive,Positive,True
Neutral,Neutral,True
Negative,Negative,True
Positive,Positive,True
Negative,Negative,True
Neutral,Neutral,True
Negative,Negative,True
Neutral,Neutral,True
Negative,Negative,True
Neutral,Neutral,True
Positive,Positive,True
Negative,Negative,True
Neutral,Neutral,True
Neutral,Neutral,True
Neutral,Neutral,True
Positive,Positive,True
Positive,Positive,True
Neutral,Neutral,True
Neutral,Neutral,True
Neutral,Neutral,True
Negative,Negative,True
Positive,Positive,True
Neutral,Neutral,True
Negative,Negative,True
Positive,Positive,True
Positive,Positive,True
Positive,Positive,True
Positive,Positive,True
Neutral,Neutral,True
Negative,Negative,True
Positive,Positive,True
Negative,Negative,True
Positive,Positive,True
Neutral,Neutral,True
Negative,Negative,True
Positive,Positive,True
Positive,Positive,True
Negative,Negative,True
Negative,Negative,True
Neutral,Negative,False
Neutral,Neutral,True
Neutral,Neutral,True
Positive,Positive,True
Neutral,Neutral,True
Positive,Positive,True
Positive,Positive,True
Negative,Negative,True
Negative,Negative,True
Positive,Positive,True
Negative,Negative,True
Negative,Negative,True
Negative,Negative,True
Negative,Negative,True
Negative,Negative,True
Negative,Negative,True
Neutral,Neutral,True
Negative,Negative,True
Negative,Negative,True
Positive,Positive,True
Neutral,Neutral,True
Neutral,Neutral,True
Positive,Positive,True
Positive,Positive,True
Negative,Negative,True
Neutral,Neutral,True
Neutral,Neutral,True
Negative,Negative,True
Neutral,Positive,False
Neutral,Neutral,True
Positive,Positive,True
Positive,Positive,True
Neutral,Neutral,True
Negative,Negative,True
Positive,Positive,True
Positive,Positive,True
Positive,Positive,True
Positive,Positive,True
Negative,Negative,True
Neutral,Neutral,True
Negative,Negative,True
Negative,Negative,True
Neutral,Neutral,True
Positive,Neutral,False
Negative,Negative,True
Neutral,Neutral,True
Positive,Positive,True
Positive,Positive,True
Negative,Negative,True
Neutral,Neutral,True
Negative,Negative,True
Negative,Negative,True
Negative,Negative,True
Negative,Negative,True
Neutral,Neutral,True
Negative,Negative,True
Negative,Negative,True
Negative,Negative,True
Neutral,Neutral,True
Negative,Negative,True
Negative,Negative,True
Positive,Positive,True
Neutral,Neutral,True
Positive,Positive,True
Positive,Positive,True
Positive,Positive,True
Neutral,Neutral,True
Negative,Negative,True
Neutral,Neutral,True
Positive,Positive,True
Positive,Positive,True
Negative,Negative,True
Neutral,Neutral,True
Negative,Negative,True
Neutral,Neutral,True
Negative,Negative,True
Positive,Positive,True
Neutral,Neutral,True
Neutral,Neutral,True
Negative,Negative,True
Positive,Positive,True
Neutral,Neutral,True
Neutral,Neutral,True
Neutral,Neutral,True
Negative,Negative,True
Neutral,Neutral,True
Negative,Negative,True
Neutral,Neutral,True
Negative,Negative,True
Positive,Positive,True
Positive,Positive,True
Negative,Negative,True
Negative,Negative,True
Positive,Positive,True
Neutral,Neutral,True
Positive,Positive,True
Neutral,Neutral,True
Positive,Positive,True
Neutral,Neutral,True
Neutral,Neutral,True
Negative,Negative,True
Neutral,Neutral,True
Positive,Positive,True
Positive,Positive,True
Positive,Positive,True
Negative,Negative,True
Negative,Negative,True
Neutral,Neutral,True
Negative,Negative,True
Negative,Negative,True
Positive,Positive,True
Negative,Negative,True
Positive,Positive,True
Neutral,Neutral,True
Positive,Positive,True
Positive,Positive,True
Negative,Negative,True
Neutral,Neutral,True
Negative,Negative,True
Neutral,Neutral,True
Positive,Positive,True
Neutral,Neutral,True
Neutral,Neutral,True
Neutral,Neutral,True
Negative,Negative,True
Positive,Positive,True
Positive,Positive,True
Positive,Positive,True
Neutral,Neutral,True
Positive,Positive,True
Neutral,Neutral,True
Negative,Negative,True
Positive,Positive,True
Neutral,Neutral,True
Positive,Positive,True
Neutral,Neutral,True
Negative,Negative,True
Positive,Positive,True
Negative,Negative,True
Neutral,Neutral,True
Positive,Positive,True
Neutral,Neutral,True
Negative,Negative,True
Negative,Negative,True
Neutral,Neutral,True
Positive,Positive,True
Neutral,Neutral,True
Neutral,Neutral,True
Positive,Positive,True
Positive,Positive,True
Positive,Positive,True
Neutral,Neutral,True
Negative,Negative,True
Negative,Negative,True
Neutral,Neutral,True
Negative,Negative,True
Positive,Positive,True
Neutral,Neutral,True
Negative,Negative,True
Negative,Negative,True
Positive,Positive,True
