text,text_clean,rating,sentiment,is_augmented
Pesanan gx sesuai dgn yg d gambar,pesanan gx sesuai dgn yg d gambar,2,Negative,False
Pengiriman dan respon super cepat. Tpi barang tidak sesuai gambar dan tidak kuat untuk menembus jok motor.,pengiriman dan respon super cepat tpi barang tidak sesuai gambar dan tidak kuat untuk menembus jok motor,2,Negative,False
barang yg dikirim tidak sesuai pesanan,barang yg dikirim tidak sesuai pesanan,1,Negative,False
"Php, bilang isi ada diseskripsi pas dipesen berbeda, mubajir rp50.000 ternyata isinya ga cocok",php bilang isi ada diseskripsi pas dipesen berbeda mubajir rp ternyata isinya ga cocok,1,Negative,False
barang jelek copot&#34; terus tmpat taro isinya,barang jelek copot terus tmpat taro isinya,2,Negative,False
Beli staples gak jual isinya... hanya sekali pake.... ckckck,beli staples gak jual isinya hanya sekali pake ckckck,1,Negative,False
"Sebaiknya kalau mau ngirim barang...diperiksa dulu gan, kondisi  barangnya layak apa gak gitu loh.
(Isinya karatan semua)",sebaiknya kalau mau ngirim barang diperiksa dulu gan kondisi barangnya layak apa gak gitu loh isinya karatan semua,1,Negative,False
"Produk tidak sesuai, order prohex yg dikirim ini",produk tidak sesuai order prohex yg dikirim ini,2,Negative,False
brg sdh diterima.................,brg sdh diterima,2,Negative,False
tidak bisa buat masang jok gak ke pake,tidak bisa buat masang jok gak ke pake,2,Negative,False
"barang datang cacat ,gak bisa di gunakan 
harusnya sblum di kirim di coba dulu",barang datang cacat gak bisa di gunakan harusnya sblum di kirim di coba dulu,1,Negative,False
"Kecewa baru dipakey isiya kluar sampai 2 3 buah
Dipapan nggak nempel",kecewa baru dipakey isiya kluar sampai buah dipapan nggak nempel,1,Negative,False
Barang kurang bagus. Pengiriman pakai pos lama sekali.,barang kurang bagus pengiriman pakai pos lama sekali,2,Negative,False
"Hasil staples tidak rapat pada bidang, mungkin dapat produk cacat..hadeeuh",hasil staples tidak rapat pada bidang mungkin dapat produk cacat hadeeuh,1,Negative,False
barang standart n biasa aja kurang good...,barang standart n biasa aja kurang good,2,Negative,False
Barangnya rusak..kecewa berat,barangnya rusak kecewa berat,1,Negative,False
Beli 5 tdk bs dipakai semua,beli tdk bs dipakai semua,1,Negative,False
"Straples nya gk bs dipake,  udh dicoba berkali2 bwt pasang jaring nyamuk straples ditembak dibahan triplek aja gk nembus udh itu harus diketok2 Palu lgi 😢",straples nya gk bs dipake udh dicoba berkali bwt pasang jaring nyamuk straples ditembak dibahan triplek aja gk nembus udh itu harus diketok palu lgi,1,Negative,False
mungkin karena harga juga.. jadi susah dipake..hehe staplesnya gak nancep sampe oenuh..,mungkin karena harga juga jadi susah dipake hehe staplesnya gak nancep sampe oenuh,2,Negative,False
gagal.........................,gagal,1,Negative,False
ggdjkkjfkghfyhdjhugfvkchzndfjhadfafhjkkiutff,ggdjkkjfkghfyhdjhugfvkchzndfjhadfafhjkkiutff,1,Negative,False
"SELLER TIDAK KOMUNIKATIF, NIATNYA PAKE INSTANT COURIER BIAR SEGERA SAMPAI, TP BARANG DIKIRIM 2 HARI KEMUDIAN TANPA KABAR SAMA SEKALI, DITANYA GA BERANI BALAS, UDAH NGAJUIN PEMBATALAN TETEP AJA DIKIRIM TANPA DOSA.. SEMOGA GA ADA LAGI YG BUYER DAPET PERLAKUAN KYK GINI",seller tidak komunikatif niatnya pake instant courier biar segera sampai tp barang dikirim hari kemudian tanpa kabar sama sekali ditanya ga berani balas udah ngajuin pembatalan tetep aja dikirim tanpa dosa semoga ga ada lagi yg buyer dapet perlakuan kyk gini,1,Negative,False
"barang nya kayak bekas ya gan..
tapi pengiriman ceoat",barang nya kayak bekas ya gan tapi pengiriman ceoat,2,Negative,False
barang ada yg gak sesuai sama buset lama banget dikirimnya.....kapok,barang ada yg gak sesuai sama buset lama banget dikirimnya kapok,1,Negative,False
"Model brang sdh sesuai deskripsi... Tapi kenapa ukuran 44nya ndak sesuai ya.. ukuran panjang sesuai tapi ukuran tinggi spatunya kyk ukuran kaki no 40. 

Aku kasih foto sepatunya yg tak coba aku pakai.",model brang sdh sesuai deskripsi tapi kenapa ukuran nya ndak sesuai ya ukuran panjang sesuai tapi ukuran tinggi spatunya kyk ukuran kaki no aku kasih foto sepatunya yg tak coba aku pakai,2,Negative,False
"Tidak recommended, kaki tidak bisa masuk, sepatu seperti sablonan, kualitas not ok",tidak recommended kaki tidak bisa masuk sepatu seperti sablonan kualitas not ok,1,Negative,False
"Apakah sepatunya boleh di retur? Kualitas bahan kanan dan kiri berbeda, tebelnya beda, tinggi nya juga beda",apakah sepatunya boleh di retur kualitas bahan kanan dan kiri berbeda tebelnya beda tinggi nya juga beda,1,Negative,False
Brng sy pesan. Uang sy transfr tp brmg tdk sy trima. Jgn. Pesan pke wahana cargo. Tdk ad solusi dr toped ut mngembalikan uang saya,brng sy pesan uang sy transfr tp brmg tdk sy trima jgn pesan pke wahana cargo tdk ad solusi dr toped ut mngembalikan uang saya,1,Negative,False
"Tidak sesuai permintaan warnanya. Pas di tanya, ngaku2nya udh chat kita ga jawab. Pdhl ga ada chat 👏👏",tidak sesuai permintaan warnanya pas di tanya ngaku nya udh chat kita ga jawab pdhl ga ada chat,1,Negative,False
Suckkkk..............................................,suckkkk,1,Negative,False
"Produk bagus, tapi QC kurang. Pipa nya beda ukuran 1batang, jadi hanya 2 rak yg terpasang",produk bagus tapi qc kurang pipa nya beda ukuran batang jadi hanya rak yg terpasang,2,Negative,False
Saya sangat kecewa karna ACC nya tidak lengkap,saya sangat kecewa karna acc nya tidak lengkap,1,Negative,False
"Kurang sesuai dengan expektasi, karena terdapat kecacatan pada konektor, dan memiliki panjang tiang yang tidak imbang",kurang sesuai dengan expektasi karena terdapat kecacatan pada konektor dan memiliki panjang tiang yang tidak imbang,2,Negative,False
Ada 1 bagian yg tidak ada,ada bagian yg tidak ada,1,Negative,False
minta dibatalin udah ajuin pembatalan malah dikirim. udah dikonfirmasi ukuran dan model salah. !,minta dibatalin udah ajuin pembatalan malah dikirim udah dikonfirmasi ukuran dan model salah,2,Negative,False
"Kotak rusak, lem sepatunya gk bngt",kotak rusak lem sepatunya gk bngt,1,Negative,False
Tidak sesuai dengan yang di kasi liat,tidak sesuai dengan yang di kasi liat,2,Negative,False
"Respon lambat pengiriman lama barang yang di kirim tidak sesuai , saya kecewa",respon lambat pengiriman lama barang yang di kirim tidak sesuai saya kecewa,2,Negative,False
"Masih bisa diklem gak nih kualitas barang sangat buruk, lemnya gak nempel pada ngelupas
Jujur saya sangat kecewa",masih bisa diklem gak nih kualitas barang sangat buruk lemnya gak nempel pada ngelupas jujur saya sangat kecewa,1,Negative,False
"Pengirimnya lama, prosesnya juga lamaaaa",pengirimnya lama prosesnya juga lamaaaa,1,Negative,False
Lebih teliti lg ya gan kalau ngasih informasi,lebih teliti lg ya gan kalau ngasih informasi,1,Negative,False
"Order tanggal 19 pake JNE yes,  
Baru sampe tanggal 25 entah salahnya dimana",order tanggal pake jne yes baru sampe tanggal entah salahnya dimana,1,Negative,False
"Barang nya jelek bgt , saya mau kasih ke Org pun malu , mungkin ini foto lebih bagus dari produk asli nya
Saya tdk akan beli lagi",barang nya jelek bgt saya mau kasih ke org pun malu mungkin ini foto lebih bagus dari produk asli nya saya tdk akan beli lagi,1,Negative,False
Gx sesuai dgn gambar. Gambar comot di google,gx sesuai dgn gambar gambar comot di google,2,Negative,False
"awalnya lupa tulisan ukuran, dan penjual juga ga nanya,, akhirnya  ukuran yg dikirim  ukuran  40,, minta retur ke 42 ,, penjual cuman bilang iya doang,, ga ada action,, udah sebulan ga diproses,, yang parahnya tokpedia malah melanjutkan dana ke penjual. padahal sudah mengikuti proses komplian sesuai petunjuk tokped. Benar&#39;&#39; tidak menghargai customer.",awalnya lupa tulisan ukuran dan penjual juga ga nanya akhirnya ukuran yg dikirim ukuran minta retur ke penjual cuman bilang iya doang ga ada action udah sebulan ga diproses yang parahnya tokpedia malah melanjutkan dana ke penjual padahal sudah mengikuti proses komplian sesuai petunjuk tokped benar tidak menghargai customer,1,Negative,False
"Pesen  warna A yg d kirim warna B...nga ssuai klw dlam pesenan
 Abis gtu ukuranya kcill😢",pesen warna a yg d kirim warna b nga ssuai klw dlam pesenan abis gtu ukuranya kcill,1,Negative,False
